,Text
10,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:New York Cheesecake ### Output:{'ingredients': ""['Biscotti Digestive', 'Burro', 'Formaggio fresco spalmabile', 'Panna fresca liquida', 'Zucchero', 'Amido di mais (maizena)', 'Uova', 'Tuorli', 'Succo di limone', 'Baccello di vaniglia', 'Panna acida', 'Frutti di bosco', 'Menta', 'Baccello di vaniglia']"", 'description': 'A classic New York Cheesecake, characterized by its rich and creamy texture, is made with a crushed digestive biscotti base, filled with a mixture of fresh cream cheese, heavy cream, sugar, cornstarch, eggs, egg yolks, lemon juice, and the seeds of a vanilla bean. The cheesecake is then topped with a layer of sour cream before being baked to perfection. Once cooled, it is garnished with an array of fresh berries, a sprig of mint, and a dusting of vanilla bean for an elegant finish.', 'allergen': ""['Cereals', 'Egg', 'Latte']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
11,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Tortino di cioccolato con cuore fondente ### Output:{'ingredients': ""['Cioccolato fondente al 70%', 'Burro', 'Uova', 'Zucchero', 'Farina 00', 'Burro', 'Farina 00', 'Zucchero a velo']"", 'description': '""Tortino di cioccolato con cuore fondente"" is a rich, decadent chocolate dessert that features a molten chocolate center. The exterior of the tortino is made with dark chocolate, butter, eggs, and sugar, while a combination of flour, butter, and powdered sugar gives the dish its delicate exterior.', 'allergen': ""['Cereals', 'Egg', 'Latte']"", 'Additional_information': ""['Spicy', 'Vegan', 'Vegetarian']""}"
12,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Crema pasticcera ### Output:{'ingredients': ""['Latte intero', 'Zucchero', 'Tuorli', 'Amido di riso', 'Baccello di vaniglia', 'Scorza di limone']"", 'description': '""Crema pasticcera"" is a traditional Italian custard sauce made with rich whole milk, sweet sugar, egg yolks, rice starch, and flavored with vanilla bean and lemon zest.', 'allergen': ""['Egg', 'Latte']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
13,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Spaghetti alle vongole ### Output:{'ingredients': '[\'Spaghetti\', \'Vongole\', \'Aglio\', \'Prezzemolo\', ""Olio extravergine d\'oliva"", \'Pepe nero\', \'Sale fino\', \'Sale grosso\']', 'description': 'Spaghetti alle vongole is a classic Italian pasta dish featuring sautéed garlic and clams in extra virgin olive oil, seasoned with fine salt, black pepper, and garnished with fresh parsley.', 'allergen': ""['Crustaceans', 'Fish', 'Shell']"", 'Additional_information': ""['Spicy', 'Vegan', 'Vegetarian']""}"
14,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Brasato al Barolo ### Output:{'ingredients': '[\'Manzo\', \'Barolo\', \'Carote\', \'Sedano\', \'Cipolle dorate\', \'Aglio\', \'Rosmarino\', \'Alloro\', \'Chiodi di garofano\', \'Pepe nero in grani\', \'Cannella in stecche\', \'Burro\', ""Olio extravergine d\'oliva"", \'Sale fino\']', 'description': '""Brasato al Barolo"" is a dish made with high-quality beef slow-cooked in Barolo wine, along with root vegetables and an aromatic blend of herbs and spices. The mixture of ingredients creates a rich, savory sauce that is perfectly absorbed by the tender, melt-in-your-mouth meat. This traditional Italian dish is comforting, hearty, and full of robust flavors.', 'allergen': ""['Cereals', 'Crustaceans', 'Egg', 'Fish', 'Peanuts', 'SOYBEAN', 'Latte', 'Nuts', 'Celery', 'Mustard', 'Sesame seeds', 'Sulfur dioxide and sulphites', 'Shell', 'Clams']"", 'Additional_information': '[]'}"
15,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Crepe alla Nutella ### Output:{'ingredients': ""['Uova', 'Farina 00', 'Latte intero', 'Burro', 'Nutella', 'Zucchero a velo']"", 'description': 'A classic Italian dessert, Crepe alla Nutella is a thin, delicate pancake made with fine flour, whole milk, eggs, and butter, filled and topped with creamy Nutella hazelnut spread, and dusted with powdered sugar.', 'allergen': ""['Cereals', 'Egg', 'SOYBEAN', 'Latte', 'Nuts']"", 'Additional_information': ""['Vegan', 'Vegetarian']""}"
16,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Muffin con gocce di cioccolato ### Output:{'ingredients': ""['Burro', 'Farina 00', 'Zucchero', 'Latte intero', 'Uova', 'Gocce di cioccolato fondente', 'Baccello di vaniglia', 'Bicarbonato', 'Sale fino', 'Lievito in polvere per dolci']"", 'description': 'This dish, known as ""Muffin con gocce di cioccolato,"" is a delightful baked good made with fine flour, butter, sugar, whole milk, eggs, chunks of dark chocolate, vanilla, baking soda, fine salt, and baking powder.', 'allergen': ""['Latte']"", 'Additional_information': ""['Vegetarian']""}"
17,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Spaghetti all'Amatriciana ### Output:{'ingredients': '[\'Spaghetti\', \'Pomodori pelati\', \'Guanciale\', \'Pecorino romano\', \'Sale fino\', ""Olio extravergine d\'oliva"", \'Peperoncino fresco\', \'Vino bianco\']', 'description': '""Spaghetti all\'Amatriciana"" is a classic Italian pasta dish featuring spaghetti tossed in a rich and flavorful sauce made from pomodori pelati (peeled tomatoes), guanciale (Italian cured pork cheek), pecorino romano cheese, fine salt, extra virgin olive oil, fresh chili peppers, and white wine.', 'allergen': ""['Cereals']"", 'Additional_information': ""['Spicy']""}"
18,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Cannoli siciliani ### Output:{'ingredients': ""['Farina 00', 'Zucchero', 'Strutto', 'Cacao amaro in polvere', 'Sale fino', 'Uova', 'Aceto di vino bianco', 'Marsala', 'Ricotta di pecora', 'Zucchero', 'Gocce di cioccolato fondente', 'Uova', 'Olio di semi', 'Ciliegie candite', 'Zucchero a velo', 'Granella di pistacchi', 'Arancia candita']"", 'description': ""Cannoli Siciliani are a traditional Italian pastry from Sicily. They feature a tube-shaped fried dough, filled with a sweet and creamy ricotta filling. The dough is made from fine flour, sugar, lard, cocoa powder, fine salt, eggs, white wine vinegar, and Marsala wine. The filling is made from sheep's milk ricotta, sugar, dark chocolate drops, and eggs. The cannoli are typically garnished with candied cherries, powdered sugar, chopped pistachios, and candied orange."", 'allergen': ""['Cereals', 'Crustaceans', 'Egg', 'Fish', 'Peanuts', 'SOYBEAN', 'Latte', 'Nuts', 'Celery', 'Mustard', 'Sesame seeds', 'Sulfur dioxide and sulphites', 'Shell', 'Clams']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
19,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Torta tenerina ### Output:{'ingredients': ""['Cioccolato fondente', 'Burro', 'Uova', 'Zucchero', 'Farina 00', 'Zucchero a velo']"", 'description': '""Torta Tenerina"" is a rich, chocolate-based Italian cake, known for its fudgy texture and tender crumb. The dessert is made from a select blend of dark chocolate, butter, eggs, sugar, and fine ""00"" flour. A dusting of powdered sugar is often used for a finishing touch.', 'allergen': ""['Egg']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
20,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Brownies ### Output:{'ingredients': ""['Cioccolato fondente', 'Uova', 'Nocciole intere spellate', 'Burro', 'Farina 00', 'Zucchero', 'Sale fino']"", 'description': 'This dish, known as ""Brownies,"" is a delightful treat that typically features rich, melted dark chocolate, eggs, whole hazelnuts with their skins removed, softened butter, fine flour, and granulated sugar. The combination of these ingredients results in a dense, fudgy dessert that is both decadent and satisfying.', 'allergen': ""['Egg', 'Latte', 'Nuts']"", 'Additional_information': ""['Spicy', 'Vegan', 'Vegetarian']""}"
21,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Patate al forno ### Output:{'ingredients': '[\'Patate\', \'Rosmarino\', \'Aglio\', ""Olio extravergine d\'oliva"", \'Sale fino\', \'Timo\', ""Olio extravergine d\'oliva""]', 'description': '""Patate al forno"" are roasted potatoes, seasoned with rosemary, garlic, fine salt, thyme, and extra virgin olive oil.', 'allergen': ""['Cereals', 'Crustaceans', 'Egg', 'Fish', 'Peanuts', 'SOYBEAN', 'Latte', 'Nuts', 'Celery', 'Mustard', 'Sesame seeds', 'Sulfur dioxide and sulphites', 'Shell', 'Clams']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
22,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Pasta fresca all'uovo (sfoglia e formati) ### Output:{'ingredients': ""['Uova', 'Farina 00']"", 'description': '""Pasta fresca all\'uovo (sfoglia e formati)"" is a type of fresh pasta made using eggs and fine Italian flour (Tipo 00). The pasta can be created in various shapes and forms (indicated by ""sfoglia e formati""), showcasing the chef\'s creativity and technique.', 'allergen': ""['Egg']"", 'Additional_information': ""['Vegetarian']""}"
23,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Biscotti al vino ### Output:{'ingredients': ""['Vino bianco', 'Farina 00', 'Olio di semi', 'Zucchero', 'Semi di anice', 'Lievito in polvere per dolci', 'Sale fino', 'Zucchero']"", 'description': '""Biscotti al vino"" are Italian wine cookies made using a combination of white wine, fine flour, vegetable oil, sugar, anise seeds, baking powder, and fine salt. These cookies have a unique flavor and texture, resulting from the use of wine instead of the more common liquid ingredients like water or milk. The wine adds a subtle depth and complexity to the cookies, while the anise seeds provide a distinct, aromatic note. The other ingredients contribute to the characteristic crumbly texture of biscotti. Overall, ""Biscotti al vino"" is an intriguing and delicious twist on traditional Italian biscuits.', 'allergen': ""['Cereals', 'Sesame seeds']"", 'Additional_information': ""['Vegetarian']""}"
24,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Capesante gratinate ### Output:{'ingredients': '[\'Capesante\', \'Pane\', \'Pepe nero\', \'Sale fino\', ""Olio extravergine d\'oliva"", \'Scorza di limone\', \'Prezzemolo\', \'Timo\', \'Maggiorana\']', 'description': '""Capesante gratinate"" are scallops topped with a mixture of breadcrumbs, black pepper, fine salt, extra virgin olive oil, lemon zest, parsley, thyme, and marjoram, then gratinated to perfection.', 'allergen': ""['Crustaceans']"", 'Additional_information': ""['Spicy', 'Vegan', 'Vegetarian']""}"
25,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Torta di mele ### Output:{'ingredients': ""['Mele renette', 'Zucchero', 'Farina 00', 'Burro', 'Latte intero', 'Uova', 'Limoni', 'Lievito in polvere per dolci', 'Cannella in polvere', 'Sale fino', 'Zucchero a velo']"", 'description': '""Torta di mele"" is a classic Italian apple cake made with tart Renette apples, sugar, fine flour, butter, whole milk, eggs, lemon, baking powder, powdered cinnamon, fine salt, and powdered sugar.', 'allergen': ""['Egg', 'Latte']"", 'Additional_information': ""['Vegetarian']""}"
26,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Struffoli ### Output:{'ingredients': '[\'Farina 00\', \'Zucchero\', \'Sale fino\', \'Burro\', \'Uova\', \'Tuorli\', \'Bicarbonato\', ""Scorza d\'arancia"", ""Liquore all\'anice"", \'Scorza di limone\', \'Miele millefiori\', \'Zucchero\', \'Scorza di limone\', ""Scorza d\'arancia"", \'Codette colorate\', \'Arancia candita\', \'Ciliegie candite\', \'Decorazione alimentare\', \'Olio di semi di girasole\']', 'description': 'Struffoli are a traditional Italian dessert made from fine flour, sugar, and eggs, with the addition of butter, baking soda, orange and lemon zest, and anise liqueur for extra flavor. After being shaped into small balls and fried, they are typically drizzled with honey and garnished with colorful sprinkles, candied orange and lemon peel, and cherries, making for a delightful and festive treat.', 'allergen': ""['Cereals']"", 'Additional_information': ""['Vegan', 'Vegetarian']""}"
27,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Insalata russa ### Output:{'ingredients': '[\'Patate\', \'Pisellini\', \'Carote\', \'Cetriolini sottaceto\', \'Uova\', ""Olio extravergine d\'oliva"", \'Sale fino\', \'Pepe nero\', \'Tuorli\', \'Olio di semi di girasole\', \'Succo di limone\', \'Aceto di vino bianco\', \'Sale fino\', \'Pepe nero\']', 'description': '""Insalata russa"" is a classic Italian salad, which typically features a vibrant mix of ingredients such as potatoes, peas, carrots, and pickled cucumbers, alongside hard-boiled eggs. The dressing is usually a zesty blend of olive oil, sunflower oil, lemon juice, white wine vinegar, and various seasonings like salt and pepper.', 'allergen': ""['Cereals', 'Crustaceans', 'Egg', 'Fish', 'Peanuts', 'SOYBEAN', 'Latte', 'Nuts', 'Celery', 'Mustard', 'Sesame seeds', 'Sulfur dioxide and sulphites', 'Shell', 'Clams']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
28,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Gnocchi alla romana ### Output:{'ingredients': ""['Semolino', 'Latte intero', 'Burro', 'Tuorli', 'Parmigiano Reggiano DOP', 'Pecorino', 'Sale fino', 'Noce moscata']"", 'description': '""Gnocchi alla romana"" is a traditional Italian dish made with semolina, whole milk, butter, egg yolks, Parmigiano Reggiano DOP cheese, Pecorino cheese, fine salt, and nutmeg. This dish offers a savory and creamy experience, featuring the unique flavors of Italian cheeses and semolina.', 'allergen': ""['Cereals', 'Egg', 'Latte']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
29,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Risotto alla zucca ### Output:{'ingredients': '[\'Riso Carnaroli\', \'Zucca\', \'Cipolle ramate\', \'Brodo vegetale\', \'Parmigiano Reggiano DOP\', \'Vino bianco\', \'Burro\', \'Pepe nero\', \'Sale fino\', ""Olio extravergine d\'oliva""]', 'description': 'Risotto alla Zucca is a traditional Italian dish made with Carnaroli rice and pumpkin, simmered in vegetable broth and white wine. It is finished with Parmigiano Reggiano cheese, butter, black pepper, and a drizzle of extra virgin olive oil.', 'allergen': ""['Cereals']"", 'Additional_information': ""['Vegetarian']""}"
30,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Sachertorte ### Output:{'ingredients': ""['Cioccolato fondente al 60%', 'Tuorli', 'Albumi', 'Burro', 'Farina 00', 'Zucchero a velo', 'Zucchero', 'Baccello di vaniglia', 'Sale fino', 'Confettura di albicocche', 'Cioccolato fondente al 60%', 'Panna fresca liquida']"", 'description': 'Sachertorte is a rich chocolate cake, traditionally consisting of a dense, dark chocolate sponge made with dark chocolate, egg yolks, egg whites, butter, and flour, sweetened with powdered sugar and granulated sugar, and flavored with vanilla and a hint of salt. The cake is typically layered with apricot jam and topped with a glossy chocolate ganache, often served with a dollop of whipped cream.', 'allergen': ""['Cereals', 'Crustaceans', 'Egg', 'Fish', 'Peanuts', 'SOYBEAN', 'Latte', 'Nuts', 'Celery', 'Mustard', 'Sesame seeds', 'Sulfur dioxide and sulphites', 'Shell', 'Clams']"", 'Additional_information': ""['Spicy', 'Vegan', 'Gluten free', 'Vegetarian']""}"
31,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Biscotti al miele ### Output:{'ingredients': ""['Burro', 'Miele', 'Uova', 'Cannella in polvere', 'Chiodi di garofano macinati', 'Zucchero', 'Lievito in polvere per dolci', 'Farina 00', 'Acqua', 'Zucchero a velo', 'Codetta']"", 'description': '""Biscotti al miele"" are Italian honey biscuits made with butter, honey, eggs, powdered cinnamon, ground cloves, sugar, baking powder, type 00 flour, and a glaze made of powdered sugar and water, typically topped with a candied cherry.', 'allergen': ""['Cereals', 'Egg', 'Latte', 'Nuts', 'Sulfur dioxide and sulphites']"", 'Additional_information': ""['Vegetarian']""}"
32,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Pastiera napoletana ### Output:{'ingredients': '[\'Farina 00\', \'Strutto\', \'Burro\', \'Zucchero\', \'Miele millefiori\', \'Uova\', \'Latte intero\', \'Scorza di limone\', ""Scorza d\'arancia"", \'Sale fino\', \'Grano cotto\', \'Latte intero\', \'Burro\', \'Scorza di limone\', ""Scorza d\'arancia"", \'Sale fino\', \'Ricotta di pecora\', \'Zucchero\', \'Cedro candito\', \'Miele millefiori\', \'Uova\', \'Tuorli\', ""Acqua di fiori d\'arancio"", \'Latte intero\', ""Scorza d\'arancia"", \'Scorza di limone\', \'Zucchero a velo\']', 'description': 'Pastiera napoletana is a traditional Italian dessert from Naples, often prepared for special occasions like Easter. It is a type of wheat berry pie, made with fine flour, lard, and butter, sweetened with sugar and honey, and enriched with eggs and whole milk. The filling is flavored with citrus zest and grated cooked wheat, and the pie is typically topped with sweetened ricotta cheese, candied citron, and a dusting of powdered sugar. The dessert is further enhanced with the addition of orange flower water, providing a distinct floral note.', 'allergen': ""['Egg', 'Latte', 'Nuts']"", 'Additional_information': ""['Spicy', 'Vegan', 'Gluten free', 'Vegetarian']""}"
33,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Chiffon cake ### Output:{'ingredients': ""['Zucchero', 'Farina 00', 'Acqua', 'Olio di semi di girasole', 'Uova', 'Baccello di vaniglia', 'Scorza di limone', 'Lievito in polvere per dolci', 'Cremor tartaro', 'Sale fino', 'Zucchero a velo']"", 'description': 'The Chiffon cake is a delightful and airy dessert that is known for its light and tender texture. It is made using a careful combination of select ingredients, including zucchero, farina 00, acqua, olio di semi di girasole, uova, baccello di vaniglia, scorza di limone, lievito in polvere per dolci, cremor tartaro, sale fino, and zucchero a velo. Despite the use of oil instead of butter, this cake still manages to achieve a fluffy and cloud-like consistency, making it a popular choice for those who enjoy a delicate and fine pastry.', 'allergen': ""['Cereals', 'Egg']"", 'Additional_information': ""['Vegetarian']""}"
34,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Tronchetto di Natale (Buche de Noel) ### Output:{'ingredients': ""['Farina 00', 'Uova', 'Zucchero', 'Miele', 'Sale fino', 'Baccello di vaniglia', 'Panna fresca liquida', 'Cioccolato fondente', 'Cioccolato fondente', 'Zucchero a velo']"", 'description': '""Tronchetto di Natale, also known as Buche de Noel, is a classic Christmas dessert made with \'Farina 00\', eggs, sugar, honey, fine salt, vanilla bean, fresh liquid cream, and two types of dark chocolate. The mixture of these ingredients creates a rich and decadent cake, often shaped into a log to mimic the appearance of a Yule log.""', 'allergen': ""['Egg', 'Latte']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
35,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Panna cotta ### Output:{'ingredients': ""['Panna fresca liquida', 'Baccello di vaniglia', 'Zucchero', 'Gelatina in fogli']"", 'description': ""Panna cotta is a classic Italian dessert, often made with sweetened cream that's thickened with gelatin and infused with vanilla bean. The result is a smooth, refreshing, and lightly set custard."", 'allergen': ""['Latte']"", 'Additional_information': ""['Gluten free', 'Vegetarian']""}"
36,"<s>[INST]As a restaurant menu manager, your role is to gather below informations based on input  (Name of the dish).
    generate the output ### Input data:Cotechino con lenticchie ### Output:{'ingredients': '[\'Cotechino precotto\', \'Lenticchie secche\', \'Sedano\', \'Carote\', \'Cipolle bianche\', ""Olio extravergine d\'oliva"", \'Alloro\', \'Rosmarino\', \'Brodo vegetale\', \'Sale fino\', \'Pepe nero\']', 'description': '""Cotechino con lenticchie"" is a dish made with pre-cooked Cotechino, dried lentils, celery, carrots, white onions, extra virgin olive oil, bay leaves, rosemary, vegetable broth, fine salt, and black pepper. The combination of earthy lentils and flavorful Cotechino make this a hearty and comforting dish.', 'allergen': ""['SOYBEAN']"", 'Additional_information': ""['Gluten free']""}"
