,Text
10,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The couples', 'Personas': {'Age': '18-65', 'Interests': 'Partner, Officially engaged, in a relationship, open relationship, married, civil union'}} ### Output:🌹 San Valentino al Ristorante Lo Squalo, dove l'amore si fonde con i deliziosi sapori del Mare.

Prenota ora il tuo tavolo!

🐟  Ristorante Lo Squalo, Via Fiume 37, Monopoli
 📞 3347065315"
11,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:🌹 San Valentino al Ristorante Lo Squalo, dove l'amore si fonde con i deliziosi sapori del Mare.

Prenota ora il tuo tavolo!

🐟  Ristorante Lo Squalo, Via Fiume 37, Monopoli
 📞 3347065315"
12,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Offsite', 'Personas': {'Age': '18-65', 'DemographicData': 'Far from family, far from the city of origin'}} ### Output:Preordina la cena della Vigilia e di San Silvestro al Ristorante Lo Squalo 🦈

Inviandoci un Whatsapp con Scritto BuoneFeste2023 otterrai il tuo sconto del 10% sul totale 🤩

Scrivici subito 😉

🐟 Ristorante Lo Squalo, Via Fiume 37, Monopoli
📞 334 706 5315"
13,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Commuters', 'Personas': {'Age': '18-65', 'Behaviors': 'Commuters'}} ### Output:Preordina la cena della Vigilia e di San Silvestro al Ristorante Lo Squalo 🦈

Inviandoci un Whatsapp con Scritto BuoneFeste2023 otterrai il tuo sconto del 10% sul totale 🤩

Scrivici subito 😉

🐟 Ristorante Lo Squalo, Via Fiume 37, Monopoli
📞 334 706 5315"
14,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:Preordina la cena della Vigilia e di San Silvestro al Ristorante Lo Squalo 🦈

Inviandoci un Whatsapp con Scritto BuoneFeste2023 otterrai il tuo sconto del 10% sul totale 🤩

Scrivici subito 😉

🐟 Ristorante Lo Squalo, Via Fiume 37, Monopoli
📞 334 706 5315"
15,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Commuters', 'Personas': {'Age': '18-65', 'Behaviors': 'Commuters'}} ### Output:Vieni a scoprire la magia della vera pizza Napoletana a Pisa 🍕😋

🍕  Ti aspettiamo da Pomodoro e Mozzarella 
📍 Via Domenico Cavalca 28/30,  Pisa
📞 Chiamaci al 331 955 7094"
16,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Commuters', 'Personas': {'Age': '18-65', 'Behaviors': 'Commuters'}} ### Output:🍕🎉 Offerta imperdibile! Ogni sabato da Andy Pizza serata Karaoke e Giropizza a soli 12 euro! 

Cosa ti aspetta? 😋 🎉 

🍤 Deliziosi fritti misti
🍕 Pizza a volontà con ingredienti di alta qualità
🍺 Bibita da 33 cl inclusa

Unisciti a noi per una serata di divertimento e ottimo cibo nella nostra pizzeria. 
Porta amici e famiglia e goditi il sabato da Andy Pizza! 🍕 
Prenotazioni per minimo quattro persone a tavolo

📍 Via Tullio Ascarelli, 133/135, Roma  
📞 06 9674 0632"
17,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'I Single', 'Personas': {'Age': '18-65', 'DemographicData': 'Divorced, Single, Separated, Widowed'}} ### Output:Da Misstrafogo, il sabato sera è sempre una festa! 🎉 
Cantiamo 🎤, balliamo 💃, e, soprattutto, ci divertiamo tantissimo! 😄✨

Unisciti anche tu a noi e vivi momenti indimenticabili! 🕺💫

📍Via Maggiore Pietro Toselli 18, Palermo
📞 380 3806360

 #Festa #DivertimentoAssicurato 🎊"
18,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Commuters', 'Personas': {'Age': '18-65', 'Behaviors': 'Commuters'}} ### Output:Da Misstrafogo, il sabato sera è sempre una festa! 🎉 
Cantiamo 🎤, balliamo 💃, e, soprattutto, ci divertiamo tantissimo! 😄✨

Unisciti anche tu a noi e vivi momenti indimenticabili! 🕺💫

📍Via Maggiore Pietro Toselli 18, Palermo
📞 380 3806360

 #Festa #DivertimentoAssicurato 🎊"
19,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:Da Misstrafogo, il sabato sera è sempre una festa! 🎉 
Cantiamo 🎤, balliamo 💃, e, soprattutto, ci divertiamo tantissimo! 😄✨

Unisciti anche tu a noi e vivi momenti indimenticabili! 🕺💫

📍Via Maggiore Pietro Toselli 18, Palermo
📞 380 3806360

 #Festa #DivertimentoAssicurato 🎊"
20,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Offsite', 'Personas': {'Age': '18-65', 'DemographicData': 'Far from family, far from the city of origin'}} ### Output:Vieni a deliziare il tuo palato con i nostri irresistibili primi piatti di MiSstrafogo! 🍝

Lasciati tentare dal gusto autentico e dai sapori unici che ci contraddistinguono 😋

Assicurati di prenotare il tuo tavolo per garantire un posto speciale per te 🍽

🗓 Siamo aperti dal Lunedì al Sabato
📍 Via Maggiore Pietro Toselli, 18
📞 380 3806360

#misstrafogo #piattideliziosi #pranzigustosi  #palermo"
21,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:Vieni a deliziare il tuo palato con i nostri irresistibili primi piatti di MiSstrafogo! 🍝

Lasciati tentare dal gusto autentico e dai sapori unici che ci contraddistinguono 😋

Assicurati di prenotare il tuo tavolo per garantire un posto speciale per te 🍽

🗓 Siamo aperti dal Lunedì al Sabato
📍 Via Maggiore Pietro Toselli, 18
📞 380 3806360

#misstrafogo #piattideliziosi #pranzigustosi  #palermo"
22,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The couples', 'Personas': {'Age': '18-65', 'Interests': 'Partner, Officially engaged, in a relationship, open relationship, married, civil union'}} ### Output:🎶 NIENTE SUONA COME LA MUSICA DAL VIVO! 🎷🎵

🍝 Soprattutto se accompagnata da ottime specialità siciliane 🍕🍷

🗓️ Sabato 14 Ottobre, passa a trovarci 💃
 🕣 Dalle ore 20.00 🌟
📍 Via Pietro Toselli, 14, 15, 16, Palermo 🏰"
23,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:🎶 NIENTE SUONA COME LA MUSICA DAL VIVO! 🎷🎵

🍝 Soprattutto se accompagnata da ottime specialità siciliane 🍕🍷

🗓️ Sabato 14 Ottobre, passa a trovarci 💃
 🕣 Dalle ore 20.00 🌟
📍 Via Pietro Toselli, 14, 15, 16, Palermo 🏰"
24,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Ideal customer', 'Personas': {'Age': '18-65', 'Type': 'Other', 'FacebookInterests': ['Restaurants ,Quick casual restaurants ,Subway (ristorante)']}} ### Output:A grande richiesta!
Speciale Mese di Febbraio 🧅

Crema di cipolla cotta con burro di bufala, cipolla caramellata old school e ragù bianco sfumato al brandy con scorza di limone!

Da Primo anche per tutto il mese di febbraio. Vi aspettiamo!

PRIMO ❤️
#primopasta"
25,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The Vegetarian', 'Personas': {'Age': '18-65', 'Interests': 'Vegetarianism'}} ### Output:A grande richiesta!
Speciale Mese di Febbraio 🧅

Crema di cipolla cotta con burro di bufala, cipolla caramellata old school e ragù bianco sfumato al brandy con scorza di limone!

Da Primo anche per tutto il mese di febbraio. Vi aspettiamo!

PRIMO ❤️
#primopasta"
26,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'Commuters', 'Personas': {'Age': '18-65', 'Behaviors': 'Commuters'}} ### Output:🍝Dalla serie #primoaroundcity il nuovo Sugo del Mese con vista sui nostri splendidi lungarni!
E tu l’hai provato? 😋

Vi aspettiamo 📍Vicolo del Tidi, 24 Pisa!

PRIMO ❤️

#primopisa #pasta #primopasta #pisa"
27,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The tourist', 'Personas': {'Age': '18-65', 'Behaviors': 'tourist'}} ### Output:🍝Dalla serie #primoaroundcity il nuovo Sugo del Mese con vista sui nostri splendidi lungarni!
E tu l’hai provato? 😋

Vi aspettiamo 📍Vicolo del Tidi, 24 Pisa!

PRIMO ❤️

#primopisa #pasta #primopasta #pisa"
28,"<s>[INST] As an advertising manager, your task is to generate campaign descriptions based on the provided Goal [Ideal customer,Offsite Age,The Newlyweds,The Anniversaries,The Vegan, The Vegetarian,The Single,The Graduating Student,The Saver,The Couples,Commuters,The Tourist] and buyer's persona's . 
Craft four descriptions tailored specifically for restaurants based on the provided goal and buyers persona. Incorporate hashtags, emojis, and persuasive call-to-action to drive engagement and conversions..
Your role is to provide three descriptions based on the campaign Name & Interest in a dictionary. 
 ### Input data:{'category': 'The Anniversaries', 'Personas': {'Age': '18-65', 'DemographicData': 'Anniversary within 31-60 days'}} ### Output:🌹 San Valentino a Casa del Presidente 🌹

Il giorno più romantico dell'anno si avvicina e noi del locale A Casa del Presidente siamo pronti a rendere il vostro San Valentino indimenticabile.

✨Cena a lume di candela e Piano Bar, Animazione per Adulti e Bambini a cura dei TodaGioia

✨Prenotazioni entro il 12 Febbraio 

📍  A casa del Presidente
📆 14 febbraio 2024, h 20.30
📞 Per info e prenotazioni 347 784 7312"
